fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio
2002-06-01,,,,,,,,52.6,53.5,52.73333333333333,2.860858257477217,1.7110266159695797,1.9175455417066223,0.7532956685499137,2002-05-01,2002-07-01
2002-07-01,,,,,,,,51.6,53.6,52.26666666666667,3.3618984838497123,3.076923076923088,2.178709321566452,0.18691588785046953,2002-06-01,2002-08-01
2002-08-01,,,,,,,,52.6,53.9,51.900000000000006,4.216867469879526,3.0592734225621365,2.371158964432629,0.5597014925373012,2002-07-01,2002-09-01
2002-09-01,,,,,,,,51.5,54.3,53.23333333333333,4.515706806282704,4.222648752399216,2.660609993510721,0.7421150278293043,2002-08-01,2002-10-01
2002-10-01,,,,,,,,55.6,54.5,54.43333333333334,4.81386392811296,4.007633587786263,2.871556072953063,0.36832412523020164,2002-09-01,2002-11-01
2002-11-01,,,,,,,,56.2,54.7,56.76666666666667,4.864532019704448,3.795066413662229,3.0398875417325444,0.3669724770642313,2002-10-01,2002-12-01
2002-12-01,,,,,,,,58.5,54.9,56.53333333333333,4.885590599876299,4.770992366412208,3.2335521050103955,0.3656307129798808,2002-11-01,2003-01-01
2003-01-01,,,,,,,,54.9,55.4,55.300000000000004,5.266497461928954,4.331450094161959,4.770992366412208,0.9107468123861651,2002-12-01,2003-02-01
2003-02-01,,,,,,,,52.5,55.6,55.300000000000004,5.3333333333333455,5.3030303030303205,5.294117647058827,0.3610108303249149,2003-01-01,2003-03-01
2003-03-01,,,,,,,,58.5,55.5,56.133333333333326,5.31582238899313,4.914933837429114,5.3333333333333455,-0.17985611510791255,2003-02-01,2003-04-01
2003-04-01,,,,,,,,57.4,55.9,57.599999999999994,5.173463177115001,4.485981308411202,5.181347150259064,0.7207207207207134,2003-03-01,2003-05-01
2003-05-01,,,,,,,,56.9,56.0,56.56666666666666,5.142503097893414,5.461393596986808,5.219677055951921,0.17889087656530744,2003-04-01,2003-06-01
2003-06-01,,,,,,,,55.4,56.3,55.5,5.246523388116331,5.23364485981308,5.236751332706202,0.5357142857142838,2003-05-01,2003-07-01
2003-07-01,,,,,,,,54.2,56.4,54.833333333333336,4.910714285714279,5.223880597014929,5.209176788124159,0.1776198934280604,2003-06-01,2003-08-01
2003-08-01,,,,,,,,54.9,56.3,54.26666666666667,4.560051380860619,4.45269016697587,5.105176081304652,-0.17730496453900457,2003-07-01,2003-09-01
2003-09-01,,,,,,,,53.7,56.6,55.53333333333333,4.320601127113344,4.23572744014733,5.014749262536866,0.5328596802842034,2003-08-01,2003-10-01
2003-10-01,,,,,,,,58.0,56.7,56.666666666666664,4.102878138395583,4.036697247706433,4.9415314975480795,0.17667844522968323,2003-09-01,2003-11-01
2003-11-01,,,,,,,,58.3,56.7,58.96666666666667,3.875513799177921,3.656307129798897,4.826057298772191,0.0,2003-10-01,2003-12-01
