ipc_anual,fecha,ipc_anual_original,ipc_mensual_original,ipc_indice_original,ipc_indice_sa,ipc_mensual_sa,ipc_anual_sa,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio,mes,ir_magnitud,ir_signo,alineacion_ene,pandemia,ipc_ajuste,ipc_acumulado_diciembre,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
2.9163991327165295,2018-10-01,2.9,0.4,75.91,75.7392255352834,0.14830422866105586,2.9163991327165295,1.13712806133706,R,7.311127502112706,Sep - Nov,2018-10-01,2018-11-01,102.2,100.9,100.73333333333335,3.2456440040997903,3.5934291581108724,4.164904862579277,1.102204408817653,2018-09-01,2018-11-01,2018-10,1.13712806133706,Aumento,central,False,sa,,-0.08360086728347049,-0.938872497887294
2.8117963145010805,2018-11-01,2.8,0.0,75.91,75.8551011075226,0.15299281372400664,2.8117963145010805,1.18761715762743,R,7.146463315388823,Oct - Dic,2018-11-01,2018-12-01,105.6,101.8,105.59999999999998,3.6649214659685736,3.771661569826712,4.093120885411716,0.8919722497522153,2018-10-01,2018-12-01,2018-11,1.18761715762743,Aumento,central,False,sa,,-0.18820368549891953,-1.1035366846111767
2.574810125423399,2018-12-01,2.6,-0.1,75.83,75.972526577388,0.15480233781370867,2.574810125423399,1.19621457253001,R,7.129572172376286,Nov - Ene,2018-12-01,2019-01-01,109.0,100.4,104.46666666666665,2.8552674762061026,2.3445463812436396,4.004160166406656,-1.3752455795677743,2018-11-01,2019-01-01,2018-12,1.19621457253001,Aumento,central,False,sa,2.574810125423399,-0.42518987457660096,-1.1204278276237138
2.1984436588676104,2019-01-01,2.2,0.1,75.91,75.9271142118549,-0.05977472065094025,2.1984436588676104,1.55608406288246,R,7.034277907625186,Dic - Feb,2019-01-01,2019-02-01,98.8,100.9,100.33333333333333,1.8612521150592087,2.1255060728744946,1.9607843137254832,0.4980079681274896,2018-12-01,2019-02-01,2019-01,1.55608406288246,Aumento,central,False,sa,,-0.8015563411323896,-1.215722092374814
2.2106621527463233,2019-02-01,2.2,0.0,75.95,76.0422701797358,0.15166646207516177,2.2106621527463233,2.08403050298265,R,7.236279240290118,Ene - Mar,2019-02-01,2019-03-01,93.2,99.9,99.56666666666666,1.2199254490003364,0.9090909090909038,1.1591148577449806,-0.9910802775024763,2019-01-01,2019-03-01,2019-02,2.08403050298265,Aumento,central,False,sa,,-0.7893378472536767,-1.0137207597098818
2.479036646651167,2019-03-01,2.5,0.5,76.31,76.2259094417807,0.2414962909587759,2.479036646651167,2.2025039770414,R,7.096337741205429,Feb - Abr,2019-03-01,2019-04-01,106.7,101.0,101.23333333333333,1.1658894070619708,1.7119838872104776,1.2199254490003364,1.1011011011010874,2019-02-01,2019-04-01,2019-03,2.2025039770414,Aumento,central,False,sa,,-0.5209633533488329,-1.1536622587945713
2.413348684392491,2019-04-01,2.4,0.3,76.51,76.3864732848651,0.2106420825415567,2.413348684392491,2.60458891625179,R,7.232280199957606,Mar - May,2019-04-01,2019-05-01,103.8,102.2,104.63333333333333,1.6515544041450614,2.200000000000002,1.3598589775875025,1.1881188118811892,2019-03-01,2019-05-01,2019-04,2.60458891625179,Aumento,central,False,sa,,-0.5866513156075088,-1.0177198000423937
2.7572219360680883,2019-05-01,2.8,0.6,76.97,76.8899011302659,0.6590536566904781,2.7572219360680883,2.32980625129959,R,7.253812630322652,Abr - Jun,2019-05-01,2019-06-01,103.4,102.4,102.13333333333334,1.5241882041086896,2.0937188434696052,1.464099478539893,0.1956947162426559,2019-04-01,2019-06-01,2019-05,2.32980625129959,Aumento,central,False,sa,,-0.2427780639319117,-0.9961873696773482
2.7190668431452236,2019-06-01,2.7,0.0,77.01,77.1247394578454,0.30542154968002944,2.7190668431452236,2.11252296872582,R,7.548641079664637,May - Jul,2019-06-01,2019-07-01,99.2,101.4,99.63333333333333,1.8398637137989837,1.2987012987013102,1.373764449656556,-0.9765625,2019-05-01,2019-07-01,2019-06,2.11252296872582,Aumento,central,False,sa,,-0.2809331568547764,-0.7013589203353634
2.568985163293691,2019-07-01,2.6,0.2,77.18,77.2377648595018,0.14654882784812528,2.568985163293691,2.40526665550422,R,7.571807986149258,Jun - Ago,2019-07-01,2019-08-01,96.3,101.5,98.93333333333334,2.2742935906271633,1.3986013986013957,1.563857515204159,0.09861932938854956,2019-06-01,2019-08-01,2019-07,2.40526665550422,Aumento,central,False,sa,,-0.4310148367063089,-0.678192013850742
2.581941553556155,2019-08-01,2.6,0.2,77.32,77.4210823054527,0.2373417282133472,2.581941553556155,2.55442565645716,R,7.337297339786188,Jul - Sep,2019-08-01,2019-09-01,101.3,102.6,98.2,2.899056933286759,3.1155778894472297,1.762170385395545,1.0837438423645374,2019-07-01,2019-09-01,2019-08,2.55442565645716,Aumento,central,False,sa,,-0.4180584464438448,-0.912702660213812
2.256278804212064,2019-09-01,2.2,0.0,77.33,77.3334248882327,-0.11322163758207271,2.256278804212064,2.11598546827376,R,7.141079809278541,Ago - Oct,2019-09-01,2019-10-01,97.0,101.3,98.63333333333333,0.3731343283581934,1.503006012024044,1.8682065217391353,-1.2670565302144277,2019-08-01,2019-10-01,2019-09,2.11598546827376,Aumento,central,False,sa,,-0.7437211957879359,-1.1089201907214594
2.7048041929983224,2019-10-01,2.7,0.8,77.96,77.7878232833062,0.5875834359207799,2.7048041929983224,1.72007103536442,R,6.960308293894093,Sep - Nov,2019-10-01,2019-11-01,97.6,96.9,98.3,-2.4156187954996855,-3.964321110009905,1.2076314187132065,-4.343534057255671,2019-09-01,2019-11-01,2019-10,1.72007103536442,Aumento,central,False,sa,,-0.2951958070016776,-1.2896917061059074
2.788389533389246,2019-11-01,2.8,0.1,78.03,77.9702368073466,0.23450138638800855,2.788389533389246,1.34215141190133,R,7.063169087749739,Oct - Dic,2019-11-01,2019-12-01,100.3,96.9,102.63333333333333,-2.8093434343434254,-4.813359528487227,0.6049495875343647,0.0,2019-10-01,2019-12-01,2019-11,1.34215141190133,Aumento,central,False,sa,,-0.2116104666107539,-1.1868309122502607
2.999363013760581,2019-12-01,3.0,0.1,78.1,78.2512184401696,0.3603703725015839,2.999363013760581,1.56516852551105,R,7.443074329578887,Nov - Ene,2019-12-01,2020-01-01,110.0,99.5,103.33333333333333,-1.084875558391829,-0.8964143426294924,0.6333333333333302,2.6831785345717174,2019-11-01,2020-01-01,2019-12,1.56516852551105,Aumento,central,False,sa,2.999363013760581,-0.0006369862394191017,-0.806925670421113
