fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio,mes,ir_magnitud,ir_signo,alineacion_ene,pandemia,ipc_acumulado_diciembre,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
2014-10-01,6.1,0.733545482382048,R,6.214868003332803,Sep - Nov,2014-10-01,2014-11-01,94.0,92.0,92.23333333333333,1.6905549430356492,1.882613510520481,1.8087271082975365,1.2101210121012063,2014-09-01,2014-11-01,2014-10,0.733545482382048,Aumento,central,False,,3.0999999999999996,-2.0351319966671966
2014-11-01,5.7,1.2214006555709,R,6.205596819096708,Oct - Dic,2014-11-01,2014-12-01,95.3,91.5,96.2,1.6913319238900826,0.8820286659316334,1.715861505464189,-0.5434782608695676,2014-10-01,2014-12-01,2014-11,1.2214006555709,Aumento,central,False,,2.7,-2.0444031809032923
2014-12-01,4.6,2.41231829300947,R,6.226691262924964,Nov - Ene,2014-12-01,2015-01-01,99.3,92.0,95.0,1.93133047210301,2.4498886414253906,1.7749279806709595,0.5464480874316946,2014-11-01,2015-01-01,2014-12,2.41231829300947,Aumento,central,False,4.6,1.5999999999999996,-2.023308737075036
2015-01-01,4.5,2.49283585233633,R,6.215262370300058,Dic - Feb,2015-01-01,2015-02-01,90.4,92.7,92.26666666666665,2.556502408299366,3.1145717463848754,2.610669693530099,0.7608695652173925,2014-12-01,2015-02-01,2015-01,2.49283585233633,Aumento,central,False,,1.5,-2.0347376296999418
2015-02-01,4.4,2.54798304045056,R,6.228864402797486,Ene - Mar,2015-02-01,2015-03-01,87.1,92.6,91.63333333333333,2.498135719612238,1.982378854625555,2.660497397339512,-0.10787486515643208,2015-01-01,2015-03-01,2015-02,2.54798304045056,Aumento,central,False,,1.4000000000000004,-2.0211355972025142
2015-03-01,4.2,2.75409439108887,R,6.355841486469632,Feb - Abr,2015-03-01,2015-04-01,97.4,92.1,93.2,2.4551117625503993,1.320132013201314,2.4981357196122156,-0.5399568034557212,2015-02-01,2015-04-01,2015-03,2.75409439108887,Aumento,central,False,,1.2000000000000002,-1.8941585135303676
2015-04-01,4.1,2.16123114587141,R,6.751508894415141,Mar - May,2015-04-01,2015-05-01,95.1,93.4,95.39999999999999,1.9957234497505416,2.188183807439814,2.4930747922437657,1.4115092290988285,2015-03-01,2015-05-01,2015-04,2.16123114587141,Aumento,central,False,,1.0999999999999996,-1.4984911055848587
2015-05-01,4.0,2.14172725824495,R,6.67022406576548,Abr - Jun,2015-05-01,2015-06-01,93.7,93.2,93.66666666666667,2.107558139534893,1.857923497267766,2.2491730981256897,-0.21413276231263545,2015-04-01,2015-06-01,2015-05,2.14172725824495,Aumento,central,False,,1.0,-1.5797759342345197
2015-06-01,4.4,1.82225289334677,R,6.691606113518849,May - Jul,2015-06-01,2015-07-01,92.2,93.4,91.36666666666667,2.0856610800744857,2.7502750275027577,2.3003312476996607,0.21459227467810482,2015-05-01,2015-07-01,2015-06,1.82225289334677,Aumento,central,False,,1.4000000000000004,-1.5583938864811513
2015-07-01,4.6,1.47285117860427,R,6.558502706196549,Jun - Ago,2015-07-01,2015-08-01,88.2,93.0,90.43333333333334,2.1076401957094593,2.64900662251657,2.319301032565524,-0.4282655246252709,2015-06-01,2015-08-01,2015-07,1.47285117860427,Aumento,central,False,,1.5999999999999996,-1.691497293803451
2015-08-01,5.0,0.800343446764495,R,6.54399971535196,Jul - Sep,2015-08-01,2015-09-01,90.9,92.3,89.7,2.2416413373860022,1.317233809001106,2.1968854282536032,-0.7526881720430145,2015-07-01,2015-09-01,2015-08,0.800343446764495,Aumento,central,False,,2.0,-1.7060002846480398
2015-09-01,4.6,1.21087611962736,R,6.445238958411418,Ago - Oct,2015-09-01,2015-10-01,90.0,93.5,92.0,1.8074511250461,2.860286028602843,2.281180262831639,1.300108342361872,2015-08-01,2015-10-01,2015-09,1.21087611962736,Aumento,central,False,,1.5999999999999996,-1.8047610415885824
2015-10-01,4.0,1.64465999636787,R,6.174822759657495,Sep - Nov,2015-10-01,2015-11-01,95.1,93.8,94.16666666666667,2.09613299602458,1.9565217391304346,2.165223184543641,0.3208556149732589,2015-09-01,2015-11-01,2015-10,1.64465999636787,Aumento,central,False,,1.0,-2.075177240342505
2015-11-01,3.9,1.54786839738319,R,5.870419215473987,Oct - Dic,2015-11-01,2015-12-01,97.4,93.4,97.96666666666665,1.8364518364518245,2.0765027322404483,2.16889245908225,-0.4264392324093702,2015-10-01,2015-12-01,2015-11,1.54786839738319,Aumento,central,False,,0.8999999999999999,-2.379580784526013
2015-12-01,4.4,0.781875417425493,R,5.917435986391466,Nov - Ene,2015-12-01,2016-01-01,101.4,93.7,96.96666666666668,2.070175438596511,1.8478260869565277,2.1639883126369552,0.3211991434689532,2015-11-01,2016-01-01,2015-12,0.781875417425493,Aumento,central,False,4.4,1.4000000000000004,-2.3325640136085344
2016-01-01,4.8,0.982755117948897,R,6.046157360995311,Dic - Feb,2016-01-01,2016-02-01,92.1,94.5,94.76666666666665,2.709537572254339,1.9417475728155331,1.880530973451311,0.8537886872998834,2015-12-01,2016-02-01,2016-01,0.982755117948897,Aumento,central,False,,1.7999999999999998,-2.203842639004689
2016-02-01,4.7,0.665560494941353,R,6.490499064070115,Ene - Mar,2016-02-01,2016-03-01,90.8,94.6,94.36666666666667,2.9829028737722973,2.1598272138228847,3.0422535211267476,0.10582010582009804,2016-01-01,2016-03-01,2016-02,0.665560494941353,Aumento,central,False,,1.7000000000000002,-1.7595009359298848
2016-03-01,4.5,0.906555561623867,R,6.605215788476899,Feb - Abr,2016-03-01,2016-04-01,100.2,94.5,95.56666666666666,2.539341917024318,2.6058631921824116,2.9829028737722973,-0.10570824524311906,2016-02-01,2016-04-01,2016-03,0.906555561623867,Aumento,central,False,,1.5,-1.6447842115231008
2016-04-01,4.2,1.07097017923576,R,7.027192121286138,Mar - May,2016-04-01,2016-05-01,95.7,94.1,97.16666666666667,1.85185185185186,0.7494646680942019,2.3783783783783763,-0.4232804232804255,2016-03-01,2016-05-01,2016-04,1.07097017923576,Aumento,central,False,,1.2000000000000002,-1.222807878713862
2016-05-01,4.2,0.9983013480096,R,7.018020233596607,Abr - Jun,2016-05-01,2016-06-01,95.6,94.0,94.83333333333333,1.245551601423478,0.8583690987124415,2.307526417942629,-0.10626992561104665,2016-04-01,2016-06-01,2016-05,0.9983013480096,Aumento,central,False,,1.2000000000000002,-1.2319797664033931
2016-06-01,4.2,1.21213994273606,R,7.267116250290859,May - Jul,2016-06-01,2016-07-01,93.2,94.6,92.66666666666667,1.422838380153224,1.2847965738757905,2.1046950890448057,0.6382978723404209,2016-05-01,2016-07-01,2016-06,1.21213994273606,Aumento,central,False,,1.2000000000000002,-0.9828837497091412
2016-07-01,4.0,0.827500548169291,R,7.070432427292841,Jun - Ago,2016-07-01,2016-08-01,89.2,94.7,92.06666666666666,1.806118687799474,1.8279569892473146,1.9717435180872434,0.10570824524314126,2016-06-01,2016-08-01,2016-07,0.827500548169291,Aumento,central,False,,1.0,-1.1795675727071586
2016-08-01,3.4,2.06292143267057,R,7.03071987813846,Jul - Sep,2016-08-01,2016-09-01,93.8,94.7,91.5,2.006688963210701,2.600216684723744,2.12244897959184,0.0,2016-07-01,2016-09-01,2016-08,2.06292143267057,Aumento,central,False,,0.3999999999999999,-1.21928012186154
2016-09-01,3.1,1.89264792313948,R,6.680826195486356,Ago - Oct,2016-09-01,2016-10-01,91.5,95.1,93.33333333333333,1.4492753623188248,1.7112299465240621,2.0727272727272705,0.42238648363250864,2016-08-01,2016-10-01,2016-09,1.89264792313948,Aumento,central,False,,0.10000000000000009,-1.5691738045136443
2016-10-01,2.8,2.22700621402951,R,6.403383115214277,Sep - Nov,2016-10-01,2016-11-01,94.7,94.6,94.96666666666665,0.8495575221238783,0.8528784648187626,1.8150201065101568,-0.525762355415349,2016-09-01,2016-11-01,2016-10,2.22700621402951,Aumento,central,False,,-0.20000000000000018,-1.846616884785723
2016-11-01,2.9,1.93260737919234,R,6.200412730042818,Oct - Dic,2016-11-01,2016-12-01,98.7,94.7,98.8,0.8506294658046976,1.3918629550321082,1.7690417690417792,0.10570824524314126,2016-10-01,2016-12-01,2016-11,1.93260737919234,Aumento,central,False,,-0.10000000000000009,-2.0495872699571818
2016-12-01,2.7,1.96354133370715,R,6.3693701245488015,Nov - Ene,2016-12-01,2017-01-01,103.0,94.9,98.06666666666666,1.1344104503265617,1.2806830309498363,1.7517204397175634,0.21119324181626542,2016-11-01,2017-01-01,2016-12,1.96354133370715,Aumento,central,False,2.7,-0.2999999999999998,-1.8806298754511985
2017-01-01,2.8,1.54501756022312,R,6.77134859567336,Dic - Feb,2017-01-01,2017-02-01,92.5,94.5,94.86666666666667,0.10552233556104795,0.0,0.43431053203040193,-0.42149631190727677,2016-12-01,2017-02-01,2017-01,1.54501756022312,Aumento,central,False,,-0.20000000000000018,-1.4786514043266399
2017-02-01,2.7,1.44583252141406,R,7.040228949676875,Ene - Mar,2017-02-01,2017-03-01,89.1,94.1,94.03333333333335,-0.35323207347226493,-0.5285412262156397,-0.7107709130672379,-0.4232804232804255,2017-01-01,2017-03-01,2017-02,1.44583252141406,Aumento,central,False,,-0.2999999999999998,-1.2097710503231252
2017-03-01,2.7,1.47568382343588,R,7.077977973420191,Feb - Abr,2017-03-01,2017-04-01,100.5,93.7,95.0,-0.5929543076386379,-0.8465608465608399,-0.35323207347227603,-0.4250797024441977,2017-02-01,2017-04-01,2017-03,1.47568382343588,Aumento,central,False,,-0.2999999999999998,-1.1720220265798087
2017-04-01,2.7,1.58232819356776,R,7.326344790601058,Mar - May,2017-04-01,2017-05-01,95.4,94.9,97.60000000000001,0.4459691252144182,0.8501594048884398,-0.34318901795142853,1.2806830309498363,2017-03-01,2017-05-01,2017-04,1.58232819356776,Aumento,central,False,,-0.2999999999999998,-0.9236552093989419
2017-05-01,2.6,1.79549851409568,R,7.312519357965471,Abr - Jun,2017-05-01,2017-06-01,96.9,95.4,95.5,0.7029876977152849,1.4893617021276562,0.0,0.5268703898840821,2017-04-01,2017-06-01,2017-05,1.79549851409568,Aumento,central,False,,-0.3999999999999999,-0.9374806420345294
2017-06-01,1.7,2.63895761549797,R,7.21677849399046,May - Jul,2017-06-01,2017-07-01,94.2,95.9,94.0,1.4388489208633004,1.374207188160681,0.17618040873854657,0.524109014675056,2017-05-01,2017-07-01,2017-06,2.63895761549797,Aumento,central,False,,-1.3,-1.0332215060095402
2017-07-01,1.7,3.16160126802008,R,6.9075946714038645,Jun - Ago,2017-07-01,2017-08-01,90.9,96.8,93.66666666666667,1.73787110789283,2.2175290390707536,0.4110840438489749,0.938477580813335,2017-06-01,2017-08-01,2017-07,3.16160126802008,Aumento,central,False,,-1.3,-1.3424053285961355
2017-08-01,1.9,2.95641988767883,R,6.995296979121912,Jul - Sep,2017-08-01,2017-09-01,95.9,97.2,93.2,1.857923497267766,2.6399155227032844,0.6394884092725706,0.4132231404958775,2017-07-01,2017-09-01,2017-08,2.95641988767883,Aumento,central,False,,-1.1,-1.2547030208780878
2017-09-01,1.5,3.25827676494894,R,6.984697394799097,Ago - Oct,2017-09-01,2017-10-01,92.8,97.6,95.5,2.3214285714285854,2.628811777076767,0.7243795273720544,0.411522633744843,2017-08-01,2017-10-01,2017-09,3.25827676494894,Aumento,central,False,,-1.5,-1.2653026052009029
2017-10-01,1.9,2.92090899402913,R,6.703918721948665,Sep - Nov,2017-10-01,2017-11-01,97.8,97.4,97.56666666666666,2.7378027378027525,2.9598308668076223,0.982066609735277,-0.2049180327868716,2017-09-01,2017-11-01,2017-10,2.92090899402913,Aumento,central,False,,-1.1,-1.5460812780513349
2017-11-01,1.9,3.2681187321042,R,6.512653213019962,Oct - Dic,2017-11-01,2017-12-01,102.1,98.1,101.86666666666666,3.1039136302294157,3.5902851108764455,1.2168034765813518,0.7186858316221567,2017-10-01,2017-12-01,2017-11,3.2681187321042,Aumento,central,False,,-1.1,-1.737346786980038
2017-12-01,2.3,2.81361486689686,R,6.82543744457195,Nov - Ene,2017-12-01,2018-01-01,105.7,98.1,101.56666666666666,3.569000679809653,3.3719704952581475,1.3438735177865535,0.0,2017-11-01,2018-01-01,2017-12,2.81361486689686,Aumento,central,False,2.3,-0.7000000000000002,-1.42456255542805
