fecha,ipc_indice_original,ipc_mensual_original,ipc_anual_original,ipc_indice_sa,ipc_tendencia,ipc_factor_estacional,ipc_irregular,ipc_mensual_sa,ipc_anual_sa,ipc_anual_original_calculada
2019-04-01,76.51,0.3,2.4,76.3864732848651,76.4685054818659,1.00161712813569,0.998927242052347,0.2106420825415567,2.413348684392491,2.4230254350736224
2019-05-01,76.97,0.6,2.8,76.8899011302659,76.8227984852849,1.00104173459137,1.00087347306144,0.6590536566904781,2.7572219360680883,2.7636849132176122
2019-06-01,77.01,0.0,2.7,77.1247394578454,77.0965125907391,0.998512287255011,1.00036612378638,0.30542154968002944,2.7190668431452236,2.707388636969865
2019-07-01,77.18,0.2,2.6,77.2377648595018,77.2566994787934,0.999252116375883,0.999754912914746,0.14654882784812528,2.568985163293691,2.564784053156166
2019-08-01,77.32,0.2,2.6,77.4210823054527,77.3522979869198,0.998694382686954,1.00088923432559,0.2373417282133472,2.581941553556155,2.5736269567524506
2019-09-01,77.33,0.0,2.2,77.3334248882327,77.4656446427413,0.999955712704595,0.998293182027744,-0.11322163758207271,2.256278804212064,2.2477852703953527
2019-10-01,77.96,0.8,2.7,77.7878232833062,77.7174748545941,1.0022134147663,1.00090518160611,0.5875834359207799,2.7048041929983224,2.700566460281917
2019-11-01,78.03,0.1,2.8,77.9702368073466,77.9942556878876,1.00076648725335,0.999692042954585,0.23450138638800855,2.788389533389246,2.792780924779348
2019-12-01,78.1,0.1,3.0,78.2512184401696,78.2581480120904,0.998067526063058,0.999911452390622,0.3603703725015839,2.999363013760581,2.9935381775022973
2020-01-01,78.55,0.6,3.5,78.557890055435,78.594227524237,0.999899563806647,0.999537657281627,0.39190650494456136,3.4648700545099054,3.477802661045981
2020-02-01,78.9,0.4,3.9,78.9962139811718,78.9102102616265,0.998782043134438,1.00108989342773,0.5579629562702193,3.884607593189915,3.884134298880837
2020-03-01,79.16,0.3,3.7,79.0643770954253,79.0342440870708,1.00120943094839,1.00038126521867,0.08628655832765286,3.723757019668672,3.734766085703045
2020-04-01,79.13,0.0,3.4,78.9899447787505,79.0129585288856,1.00177307658135,0.999708734484018,-0.09414140654642189,3.408288643169022,3.4243889687622486
2020-05-01,79.09,-0.1,2.8,79.003146806069,79.0366409996645,1.00109936372717,0.999576219419603,0.016713554308056544,2.748404725118414,2.7543198648824374
2020-06-01,79.03,-0.1,2.6,79.1589052675501,79.1192949297188,0.99837156328635,1.00050064068274,0.19715475620667444,2.637501045713786,2.6230359693546257
2020-07-01,79.11,0.1,2.5,79.1726447706331,79.2019403234042,0.999208757383127,0.999630115718737,0.017356863433826142,2.5050956803979396,2.500647836226988
2020-08-01,79.22,0.1,2.4,79.3292444245154,79.3820977163299,0.998622898461874,0.999334191293314,0.19779515303040007,2.464654409679179,2.457320227625459
2020-09-01,79.72,0.6,3.1,79.7258607876788,79.7145642760285,0.999926488248344,1.00014171201653,0.49996236071654376,3.0936634487659154,3.090650459071509
2020-10-01,80.27,0.7,3.0,80.0964976056825,79.9996921815311,1.00216616705479,1.00121007245792,0.46488907657047385,2.9679122321857765,2.9630579784504896
2020-11-01,80.16,-0.1,2.7,80.0942518089446,80.2144792200763,1.00082088526418,0.998501175694206,-0.0028038638455241127,2.724135629914981,2.7297193387158636
2020-12-01,80.43,0.3,3.0,80.5925272946878,80.5642742339811,0.997983345352931,1.00035068969435,0.6221114180974707,2.9920414035576437,2.9833546734955307
2021-01-01,80.99,0.7,3.1,80.9923028044515,80.9551705202363,0.999971567613566,1.00045867711693,0.49604538185272773,3.098877461320093,3.1063017186505393
2021-02-01,81.14,0.2,2.8,81.2478011842435,81.2069284629772,0.998673180287069,1.00050331569042,0.31546007576654933,2.850246979694937,2.839036755386548
2021-03-01,81.45,0.4,2.9,81.3485355427533,81.3785070151078,1.00124728068637,0.999631702848162,0.12398410423608563,2.8889855725685143,2.892875189489641
2021-04-01,81.75,0.4,3.3,81.5926351215096,81.5925168403609,1.00192866523132,1.00000144965682,0.3000663467727982,3.294964124926536,3.3110072033362803
2021-05-01,81.97,0.3,3.6,81.8735247498298,81.8683576546248,1.001178344898,1.00006311468012,0.344258557039967,3.6332450792204485,3.6414211657605167
2021-06-01,82.04,0.1,3.8,82.1822685362519,82.2361023384505,0.998268865793244,0.999345375076545,0.37709844221986977,3.8193596266687946,3.8086802480070903
2021-07-01,82.7,0.8,4.5,82.763347792276,82.6901826333087,0.999234591229501,1.00088481070712,0.7070615917200929,4.535282397152862,4.537985084060181
2021-08-01,83.0,0.4,4.8,83.1133083829749,83.2272967225546,0.998636699883818,0.99863039718856,0.4228448945507335,4.770074372837607,4.771522342842727
2021-09-01,83.98,1.2,5.3,83.9851267862006,83.9872266953231,0.999938956022372,0.999974997279883,1.0489516302352841,5.342389478697296,5.343702960361263
2021-10-01,85.1,1.3,6.0,84.9230511452256,84.8109795520041,1.00208363750935,1.00132142788367,1.1167743562650712,6.025923334756,6.017191977077352
2021-11-01,85.53,0.5,6.7,85.4533846350431,85.5439928168169,1.00089657496054,0.998940800180233,0.6244870888006293,6.691033008064129,6.699101796407181
2021-12-01,86.2,0.8,7.2,86.3859522449787,86.3552608139547,0.997847424955723,1.00035540893206,1.091317346783205,7.188538621089702,7.173940072112384
2022-01-01,87.23,1.2,7.7,87.234638803071,87.1066719521851,0.999946823840454,1.00146908208083,0.9824358429082691,7.707320056933109,7.704654895666141
2022-02-01,87.48,0.3,7.8,87.612050841035,87.8503159371935,0.998492777651392,0.997287828807254,0.43264011078902875,7.833134637526329,7.813655410401776
2022-03-01,89.11,1.9,9.4,88.9998763132846,88.9314875284048,1.00123734651414,1.00076900529588,1.5840577396911915,9.4056281646399,9.404542664211156
2022-04-01,90.35,1.4,10.5,90.1629619492518,90.1552401808822,1.00207444439163,1.00008564968996,1.3068396093867118,10.50379953408671,10.519877675840972
2022-05-01,91.43,1.2,11.5,91.3131555583271,91.3116453869111,1.0012796013998,1.00001653865079,1.2756830345953984,11.529527814199692,11.540807612541194
2022-06-01,92.29,0.9,12.5,92.4553079692165,92.4677918279696,0.998212022945491,0.999864992355649,1.2508081709648566,12.50031133958418,12.493905411994156
2022-07-01,93.56,1.4,13.1,93.6253167619297,93.6408793523217,0.999302360043323,0.999833805593245,1.265485798936239,13.124129532453988,13.131801692865785
2022-08-01,94.69,1.2,14.1,94.8112073180084,94.7077090829485,0.998721592927281,1.00109281742809,1.2666344927773965,14.07463998560996,14.084337349397579
2022-09-01,95.51,0.9,13.7,95.5126888038506,95.428564326668,0.999971848726234,1.00088154398818,0.7398719051106895,13.725718420352573,13.729459395094068
2022-10-01,96.0,0.5,12.8,95.8088346056979,96.0057727238606,1.00199527940287,0.997948684619943,0.3100591194280744,12.818408328095376,12.808460634547592
2022-11-01,96.94,1.0,13.3,96.8424766609121,96.7449741970975,1.00100703061766,1.00100782975678,1.0788588124134524,13.327841927513905,13.34034841576055
2022-12-01,97.21,0.3,12.8,97.4322454260712,97.4446240467609,0.997718974605385,0.999872967638689,0.6089980197678591,12.787140610277392,12.772621809744766
2023-01-01,98.0,0.8,12.3,98.0064947802513,97.8959140098863,0.999933731123985,1.00112957493153,0.5893832700549106,12.348140744294689,12.346669723718895
2023-02-01,97.93,-0.1,11.9,98.081792756398,98.2716575320167,0.998452385992016,0.998067959975572,0.07682957779024946,11.950116239556486,11.945587562871518
2023-03-01,99.0,1.1,11.1,98.8733991029707,98.7375118709034,1.00128043435523,1.0013762472792,0.8070879664065389,11.093861248672665,11.098642127707325
2023-04-01,99.3,0.3,9.9,99.0776030846374,99.0855228346095,1.00224467395696,0.999920071573066,0.20653075905081586,9.887254081563125,9.905921416712783
2023-05-01,99.41,0.1,8.7,99.2729711889062,99.2729604861314,1.00138032346018,1.00000010781158,0.19718695061881064,8.717052413652148,8.72798862517772
